City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Hobyo,SO,77.77,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
447,Stephenville,US,75.2,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
449,Sassandra,CI,76.66,scattered clouds,4.95,-6.0833,la terrasse
452,Sorong,ID,88.12,scattered clouds,-0.8833,131.25,waigo splash hotel
454,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
459,Teahupoo,PF,78.76,broken clouds,-17.8333,-149.2667,Vanira Lodge
461,Tomatlan,MX,75.58,clear sky,19.9333,-105.25,El Salvial
462,Haimen,CN,80.4,moderate rain,23.1935,116.6142,Jinghao Business Hotel
464,Kiri Buru,IN,75.7,overcast clouds,22.0833,85.35,Lucky India
467,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
468,Guanica,PR,82.2,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
469,Auki,SB,83.25,overcast clouds,-8.7676,160.7034,Auki Motel
470,Matara,LK,81.23,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
471,Lazaro Cardenas,MX,80.56,overcast clouds,17.9583,-102.2,quinta antigua
476,Sharjah,AE,80.58,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
477,Banda Aceh,ID,84.83,overcast clouds,5.5577,95.3222,Sulthan Hotel International
478,Tura,IN,81.41,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
481,Ternate,ID,85.5,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
486,Boueni,YT,76.98,light rain,-12.9025,45.0761,The feet in water
488,Soto La Marina,MX,81.77,overcast clouds,23.7667,-98.2167,Hotel Chicago
491,Yarada,IN,79.12,mist,17.65,83.2667,Vishranti
498,Inirida,CO,78.22,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
499,Diffa,NE,83.95,overcast clouds,13.3154,12.6113,ProDAF/Diffa
507,San Angelo,US,76.53,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
508,Islamkot,PK,81.36,clear sky,24.6997,70.177,Haji Hotel
509,Dzaoudzi,YT,76.89,light rain,-12.7887,45.2699,Le Rocher
510,Kapoeta,SS,78.51,overcast clouds,4.7717,33.5903,Eastgate Hotel
512,Kirakira,SB,83.21,broken clouds,-10.4544,161.9205,SanBiz Lodge
513,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
526,Savannakhet,LA,75.49,overcast clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
529,Maiduguri,NG,81.86,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
530,Ixtapa,MX,81.63,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
532,San Patricio,US,82.27,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
534,Manaus,BR,86.49,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
536,Plaeng Yao,TH,87.03,light rain,13.5847,101.284,Nongkrok Resort
542,Seguin,US,79.59,clear sky,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
545,Sal Rei,CV,75.76,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
547,Fare,PF,80.67,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
557,Formosa,AR,78.78,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
559,Hamilton,US,75.36,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
560,Eyl,SO,77.59,overcast clouds,7.9803,49.8164,Amiin Hotel
564,Kumta,IN,79.18,overcast clouds,14.4167,74.4,Hotel Vaibhav Palace
568,Wewak,PG,86.4,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
570,Senador Guiomard,BR,80.35,scattered clouds,-10.1522,-67.7392,Paraíso Hotel
574,Kavaratti,IN,81.73,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
577,Biloela,AU,84.72,scattered clouds,-24.4167,150.5,Biloela Silo Motor Inn
578,Guadalupe Victoria,MX,76.57,clear sky,32.2869,-115.105,Hotel Dial
586,Manokwari,ID,85.14,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
589,Ugoofaaru,MV,82.38,overcast clouds,5.6667,73.0,Ungoofaaru Inn
592,Tawau,MY,82.26,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
593,Ibotirama,BR,84.54,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
596,Sibolga,ID,84.47,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
597,Palauig,PH,78.66,overcast clouds,15.435,119.9045,Alperi Botique Resort
598,Soe,ID,85.75,overcast clouds,-9.8607,124.284,Dena Hotel
600,Kampong Thum,KH,79.11,overcast clouds,12.7111,104.8887,Sambor Village Hotel
602,Mayumba,GA,75.83,scattered clouds,-3.432,10.6554,LIKWALE LODGE
603,Bawku,GH,80.6,overcast clouds,11.0616,-0.2417,Ultimate Guest House
607,Ghorawal,IN,76.26,overcast clouds,24.7667,82.7833,Abbas Ujjwal Tent House
608,Sawtell,AU,82.42,clear sky,-30.3833,153.1,Island Beach House Sawtell
615,Alayao,PH,77.85,overcast clouds,14.2818,122.5524,Donald Garay
616,Dunmore Town,BS,81.43,few clouds,25.5,-76.65,Coral Sands Hotel
620,Hit,IQ,79.79,few clouds,33.6416,42.8251,صالون زيرو
630,Intipuca,SV,82.35,clear sky,13.1969,-88.0544,Tropiclub Playa El Cuco
631,Malindi,KE,75.85,few clouds,-3.2175,40.1191,African House Resort
634,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
