City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Samarai,PG,2021-10-06 17:52:36,-10.6167,150.6667,79.77,84,68,10.42
204,Oktyabrskiy,RU,2021-10-06 17:52:37,54.4815,53.471,37.47,83,55,3.11
205,Spearfish,US,2021-10-06 17:52:37,44.4908,-103.8594,85.82,18,1,3.0
206,Abu Samrah,SY,2021-10-06 17:52:38,35.3029,37.1841,69.31,22,0,4.12
207,Jarvakandi,EE,2021-10-06 17:52:39,58.7789,24.8258,57.38,56,100,12.62
208,Uruzgan,AF,2021-10-06 17:52:39,32.8333,66.0,60.48,16,10,0.6
209,Khatima,IN,2021-10-06 17:52:40,28.9167,79.9667,76.21,72,2,4.16
210,Adrar,MR,2021-10-06 17:52:40,20.5022,-10.0711,99.36,13,32,9.42
211,Uige,AO,2021-10-06 17:52:41,-7.6087,15.0613,69.3,96,100,1.95
212,Cayenne,GF,2021-10-06 17:49:09,4.9333,-52.3333,87.84,83,40,1.99
213,Marana,US,2021-10-06 17:52:42,32.4367,-111.2254,87.62,43,1,0.0
214,Morogoro,TZ,2021-10-06 17:52:42,-6.8167,37.6667,82.58,44,1,4.61
215,Petropavlovsk-Kamchatskiy,RU,2021-10-06 17:52:43,53.0452,158.6483,25.39,74,0,8.95
216,Oistins,BB,2021-10-06 17:50:14,13.0667,-59.5333,87.89,70,40,26.46
217,Timra,SE,2021-10-06 17:52:44,62.487,17.3257,51.51,96,90,3.44
218,Butaritari,KI,2021-10-06 17:52:44,3.0707,172.7902,81.7,69,46,16.08
219,Hajnowka,PL,2021-10-06 17:52:45,52.7433,23.5812,52.79,62,16,1.01
220,Parrsboro,CA,2021-10-06 17:52:45,45.4001,-64.332,69.26,63,41,15.01
221,La Palma,US,2021-10-06 17:52:15,33.8464,-118.0467,75.78,81,90,3.0
222,Vestmannaeyjar,IS,2021-10-06 17:52:46,63.4427,-20.2734,43.79,75,75,28.77
223,Berlevag,NO,2021-10-06 17:52:47,70.8578,29.0864,44.6,75,75,15.17
224,Bocanda,CI,2021-10-06 17:52:47,7.0626,-4.4995,76.77,92,100,4.54
225,Manthani,IN,2021-10-06 17:52:48,18.65,79.6667,78.85,87,35,1.7
226,Sao Joao Da Barra,BR,2021-10-06 17:52:48,-21.6403,-41.0511,77.09,79,98,8.68
227,Najran,SA,2021-10-06 17:52:49,17.4924,44.1277,83.05,25,31,6.6
228,Narasannapeta,IN,2021-10-06 17:52:50,18.4167,84.05,79.83,83,21,0.76
229,Flinders,AU,2021-10-06 17:52:50,-34.5833,150.8552,61.38,70,63,1.01
230,Loknya,RU,2021-10-06 17:52:51,56.83,30.1467,46.47,71,2,9.4
231,Bonfim,BR,2021-10-06 17:52:52,3.0833,-59.95,90.23,52,99,2.17
232,Vila Velha,BR,2021-10-06 17:48:53,-20.3297,-40.2925,76.95,83,90,10.36
233,Mahebourg,MU,2021-10-06 17:52:52,-20.4081,57.7,69.26,94,40,6.91
234,Alabaster,US,2021-10-06 17:52:53,33.2443,-86.8164,79.68,87,90,1.01
235,Bowen,AU,2021-10-06 17:52:53,-20.0167,148.2333,66.42,83,54,10.25
236,Fukue,JP,2021-10-06 17:52:54,32.6881,128.8419,74.71,70,0,4.41
237,Los Llanos De Aridane,ES,2021-10-06 17:52:54,28.6585,-17.9182,71.35,81,40,13.8
238,Idrinskoye,RU,2021-10-06 17:52:55,54.3708,92.1358,34.0,81,44,4.61
239,Torbay,CA,2021-10-06 17:52:55,47.6666,-52.7314,63.88,53,75,19.57
240,Jieshi,CN,2021-10-06 17:52:56,22.8134,115.8257,80.74,83,9,18.57
241,Letpadan,MM,2021-10-06 17:52:56,17.7833,95.75,76.64,96,100,6.71
242,Guigue,VE,2021-10-06 17:52:57,10.0853,-67.7792,89.69,46,94,3.89
243,Abalak,RU,2021-10-06 17:52:57,58.1286,68.5944,36.95,89,54,6.24
244,Limpapa,PH,2021-10-06 17:52:57,7.1197,121.9106,76.98,82,77,3.51
245,Murwillumbah,AU,2021-10-06 17:52:58,-28.3167,153.4,57.94,93,0,0.0
246,Ostrovnoy,RU,2021-10-06 17:48:31,68.0531,39.5131,48.63,89,100,20.38
247,Grand Forks,US,2021-10-06 17:52:59,47.9417,-97.4337,74.88,55,1,20.71
248,Fortuna,US,2021-10-06 17:52:59,40.5982,-124.1573,60.19,69,1,4.0
249,Touros,BR,2021-10-06 17:52:11,-5.1989,-35.4608,88.7,65,100,17.69
250,Timon,BR,2021-10-06 17:53:00,-5.0942,-42.8367,98.38,34,40,6.91
251,Yuksekova,TR,2021-10-06 17:53:01,37.5736,44.2872,47.03,43,2,2.66
252,Kaoma,ZM,2021-10-06 17:53:01,-14.7833,24.8,80.67,31,81,4.52
253,Lake Charles,US,2021-10-06 17:53:02,30.2131,-93.2044,84.18,56,1,8.05
254,Isangel,VU,2021-10-06 17:53:02,-19.55,169.2667,73.67,91,21,11.99
255,Barra Do Bugres,BR,2021-10-06 17:53:03,-15.0725,-57.1811,100.13,29,73,6.6
256,Brownsville,US,2021-10-06 17:49:49,25.9018,-97.4975,88.99,46,1,3.0
257,Batticaloa,LK,2021-10-06 17:53:04,7.7102,81.6924,81.95,76,59,4.56
258,Fatehpur,IN,2021-10-06 17:53:04,25.9333,80.8,84.02,57,47,4.43
259,Kalengwa,ZM,2021-10-06 17:53:05,-13.4659,25.0027,75.45,46,100,3.36
260,Methoni,GR,2021-10-06 17:53:05,36.8197,21.7049,72.21,71,9,6.73
261,Vila Franca Do Campo,PT,2021-10-06 17:49:30,37.7167,-25.4333,76.19,91,91,11.43
262,Bengkulu,ID,2021-10-06 17:53:06,-3.8004,102.2655,74.73,91,52,2.59
